draw,rho,decay_mi,beta_ms,beta_low_income,beta_swd,beta_absent,p_max,gifted_propensity,scale
153,0.8500000000000001,5.292838667343682,0.13125507232921713,0.43067819990908635,6.433386204209902,0.07744156380313227,0.95,0.9186577871059541,0.8245783153084779
154,0.8500000000000001,6.940027528164096,0.12244427753817018,0.33077557667040486,5.407165661781353,0.029126771698833223,0.95,0.9175313908377357,0.7774420537949579
155,0.8500000000000001,5.13217956048576,0.19001728529926373,0.22928029967200786,4.832560530685108,0.12025216482597381,0.95,0.9199561749672275,0.8303390724427779
156,0.8500000000000001,6.088096760101553,0.15303741051425024,0.3322249369099814,4.7544361628658685,0.004217031297587489,0.95,0.918725427372516,0.7952736814957745
157,0.8500000000000001,5.57021347232873,0.10265456635016676,0.42610603817761006,7.108041450330926,0.11375704883932868,0.95,0.9218982200734364,0.8130816300423077
158,0.8500000000000001,4.941585111368217,0.13184957636416586,0.3216464236698076,7.226719349507494,0.12663679951053175,0.95,0.9150154124655766,0.8348132529023884
159,0.8500000000000001,3.8220395673173337,0.11583703569404344,0.32668833215020837,3.8070809992200907,0.03371342461338295,0.95,0.9265987649700892,0.9017995725647239
160,0.8500000000000001,7.0117713433668065,0.10197252134719689,0.23536672032438882,6.023877816276793,0.07186855457121952,0.95,0.9189355996045746,0.7774618351161954
161,0.8500000000000001,6.187498482180146,0.27051085953822046,0.35625205937781795,6.251828751836204,0.07435406250972441,0.95,0.9188757245122194,0.7973186284329083
162,0.8500000000000001,4.033137599924552,0.14623000712941633,0.17661640219074196,6.157115674472444,-0.002776367861097055,0.95,0.92253371019292,0.8899869751383164
163,0.8500000000000001,5.4248249968053175,0.0252603409742951,0.3395753958968893,5.146114935174198,-0.05120551059092967,0.95,0.9186429682420137,0.8170088543101118
164,0.8500000000000001,5.691121930573128,0.10055365589271571,0.24276747261072168,6.768926502517169,0.06934175777290755,0.95,0.9145797595141907,0.8088517695766286
165,0.8500000000000001,4.36328289777667,0.06266485973538286,0.3620474723344664,5.894498234398163,0.09024462582424161,0.95,0.9181358286978576,0.867410190691301
166,0.8500000000000001,4.931604681277619,0.05113049483438624,0.2429506915877991,4.346058705693279,0.045825215235774555,0.95,0.915738048178152,0.8380198038282456
167,0.8500000000000001,7.277297463892445,0.04248772804646183,0.35266619591813475,4.3152579069119525,0.05717535375858211,0.95,0.9202933601242671,0.7720261458761724
168,0.8500000000000001,3.9490934087773555,0.09457610779784116,0.390308719109835,4.15433255997753,0.06364543548829166,0.95,0.9208257750509163,0.8952243832502664
169,0.8500000000000001,3.9707614526703146,0.00025992007786780765,0.40487716169490195,6.64794766746737,0.03175254977423176,0.95,0.9147985069797989,0.8877075738868567
170,0.8500000000000001,3.737180779342812,0.1755181839105503,0.3074482888476748,6.2294279997507145,0.07907782552304979,0.95,0.9185040371319433,0.9056290291896466
171,0.8500000000000001,4.166902458282131,0.240352797156239,0.36639630197719564,6.62305715567306,0.11376117473706013,0.95,0.9232521903919786,0.8802750793367422
172,0.8500000000000001,5.805970001009171,0.08979008790424893,0.510431512279144,6.350533546198731,0.08744066779089092,0.95,0.916147379402596,0.8025507713013227
173,0.8500000000000001,5.1115572423288205,0.15104216628662034,0.28869956000677777,4.287879968447138,0.05487379034387958,0.95,0.9168205598475538,0.8292417615441589
174,0.8500000000000001,4.79834729492369,0.1702079447802942,0.23875910142290308,6.795630219367679,0.06473992269383562,0.95,0.9183149977036961,0.8459922424238467
175,0.8500000000000001,3.2219943188888913,0.02364309430420148,0.3243134647046786,5.12471885090902,0.03414715864492014,0.95,0.9161961912780172,0.9483911881335286
176,0.8500000000000001,5.4743875587445645,0.05481108996092599,0.3545020689825817,5.638866969163852,0.07255075304301815,0.95,0.9166213932747684,0.8147960208291847
177,0.8500000000000001,6.1478947387463645,0.10996465824624571,0.2844350353890303,8.404680338013224,-0.02071084382137442,0.95,0.9180235670160037,0.7975483976972245
178,0.8500000000000001,4.951578674979145,0.10644217659975287,0.3436585250105599,6.001839385438467,0.04076342846170303,0.95,0.9172520170361399,0.836088977846427
179,0.8500000000000001,5.525697779360434,0.11821564553129203,0.43150708033423296,6.328107422577841,0.06474183307705049,0.95,0.9158025340827782,0.8138784723385133
180,0.8500000000000001,5.1992622057067,0.13150339814221404,0.325957809876905,6.711878829999729,-0.0339153957527641,0.95,0.9196777290318061,0.8269190568456174
