draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders
3,204,basic,175.011,125.539,112.662,72.027
3,208,basic,131.079,105.91,52.757,34.643
3,209,basic,149.576,59.011,15.711,5.523
3,210,basic,193.115,88.93,169.149,75.347
3,211,basic,85.07,56.813,39.31,25.153
3,212,gifted,205.732,208.188,200.848,203.246
3,215,basic,114.076,69.346,40.925,21.533
3,218,basic,159.514,106.451,116.041,75.868
3,220,basic,83.546,68.564,35.39,22.846
3,221,basic,165.473,117.951,50.456,26.704
3,222,basic,148.044,83.481,96.207,41.229
3,225,basic,90.805,48.304,47.341,22.231
3,226,basic,262.745,174.558,191.519,115.781
3,229,basic,250.094,210.97,190.093,156.318
3,230,basic,107.509,76.582,42.982,26.669
3,233,basic,277.047,183.325,150.586,94.123
3,234,basic,80.009,65.554,46.403,34.632
3,235,basic,86.004,55.793,52.524,30.933
3,236,basic,50.69,44.605,38.367,32.899
3,239,basic,269.642,160.566,195.68,106.897
3,241,basic,385.509,140.886,349.648,123.939
3,242,basic,164.799,116.5,148.04,103.434
3,243,basic,220.959,127.855,177.375,100.386
3,244,basic,34.39,31.707,15.437,13.701
3,245,basic,319.418,276.895,272.116,231.959
3,246,basic,228.898,126.885,107.962,52.877
3,247,basic,368.87,135.626,339.253,122.003
3,248,basic,145.554,97.912,99.826,65.393
3,249,basic,31.818,24.738,4.949,2.878
3,250,basic,83.827,65.836,30.806,22.762
3,251,basic,134.474,69.114,93.77,44.766
3,252,basic,252.98,186.032,230.734,166.293
3,255,basic,90.689,63.777,63.054,42.855
3,257,basic,125.774,111.657,88.106,76.149
3,259,basic,157.641,120.333,98.574,69.086
3,261,basic,175.681,159.42,89.343,77.399
3,262,basic,182.74,145.351,129.495,98.461
3,264,basic,82.326,40.312,56.521,26.406
3,266,basic,108.685,90.799,56.807,44.133
3,267,basic,120.611,105.712,80.174,68.636
3,268,basic,111.751,106.164,82.931,78.784
3,269,basic,101.605,94.44,60.5,55.39
3,270,basic,166.221,115.206,98.15,58.513
3,272,basic,40.463,37.899,13.383,12.173
3,275,basic,93.088,87.237,75.921,70.928
3,276,basic,155.889,82.262,109.954,55.995
3,277,basic,128.469,89.887,64.149,42.898
3,279,basic,109.28,52.964,30.426,13.217
3,281,basic,64.147,46.042,7.938,4.744
3,282,basic,71.948,57.343,20.082,13.447
3,286,basic,173.324,106.78,122.533,61.865
3,287,gifted,190.0,192.269,113.326,114.679
3,288,basic,187.533,163.324,124.264,103.217
3,289,basic,106.697,89.479,62.835,49.074
3,291,basic,360.502,247.147,284.93,175.618
3,292,basic,498.721,299.436,205.089,103.714
3,930,basic,399.554,342.62,398.751,341.857
3,935,basic,434.9,309.383,301.837,187.127
3,939,basic,151.901,70.15,97.741,38.088
3,949,basic,379.309,313.487,238.013,180.984
3,955,basic,42.81,40.669,31.424,29.852
3,971,gifted,515.71,521.868,501.506,507.495
3,972,basic,259.9,194.44,223.316,160.501
3,974,basic,87.11,77.401,67.684,58.946
3,977,basic,234.162,180.694,147.793,106.306
4,103,basic,286.288,243.411,286.288,243.411
4,104,basic,127.431,55.615,127.431,55.615
4,105,basic,456.251,234.427,456.251,234.427
4,105,gifted,137.475,138.968,137.475,138.968
4,106,basic,444.815,283.106,444.815,283.106
4,106,gifted,87.355,88.304,87.355,88.304
4,107,basic,529.397,264.586,529.397,264.586
4,109,basic,146.574,94.371,146.574,94.371
4,110,basic,393.925,215.132,393.925,215.132
4,113,basic,399.072,246.757,399.072,246.757
4,113,gifted,116.601,117.867,116.601,117.867
4,115,basic,149.025,92.418,149.025,92.418
4,117,basic,260.501,154.549,260.501,154.549
4,117,gifted,50.079,50.622,50.079,50.622
4,118,basic,255.028,139.493,255.028,139.493
4,130,basic,661.022,390.134,661.022,390.134
4,201,basic,84.066,59.297,31.54,17.616
4,202,basic,167.979,93.204,133.875,68.59
4,203,basic,251.86,178.77,194.326,132.879
4,204,basic,166.215,118.213,100.928,63.618
4,208,basic,138.431,108.75,53.142,34.319
4,209,basic,139.199,58.861,13.391,5.079
4,210,basic,193.647,91.538,168.424,76.953
4,211,basic,78.381,52.823,36.124,23.344
4,212,gifted,205.543,207.774,199.824,201.993
4,215,basic,122.34,71.656,47.207,24.538
4,218,basic,163.999,110.455,119.768,79.085
4,220,basic,93.08,72.018,44.67,26.993
4,221,basic,172.144,115.066,54.653,27.046
4,222,basic,143.131,83.171,90.663,41.247
4,225,basic,77.924,43.467,36.049,17.728
4,226,basic,251.451,158.596,178.515,102.03
4,229,basic,251.05,204.337,190.681,151.34
4,230,basic,105.342,76.663,36.385,23.047
4,233,basic,279.242,184.991,146.067,91.301
4,234,basic,79.284,62.321,47.006,33.699
4,235,basic,79.054,49.519,46.364,26.082
4,236,basic,53.377,46.176,40.052,33.522
4,239,basic,267.306,161.205,192.444,107.056
4,241,basic,385.122,147.97,350.221,130.6
4,242,basic,155.117,106.975,138.756,94.487
4,243,basic,215.7,128.087,170.797,99.046
4,244,basic,34.452,31.626,14.944,13.095
4,245,basic,318.048,256.689,270.277,212.745
4,246,basic,232.057,130.963,109.597,54.341
4,247,basic,369.191,144.565,338.588,129.664
4,248,basic,148.278,100.369,102.524,67.762
4,249,basic,34.313,25.713,4.509,2.561
4,250,basic,88.54,69.12,33.041,24.252
4,251,basic,132.434,67.694,92.59,44.004
4,252,basic,246.145,177.702,222.045,156.962
4,255,basic,85.418,61.021,57.07,39.355
4,257,basic,125.722,107.449,87.484,72.153
4,259,basic,165.808,123.984,109.459,75.601
4,261,basic,178.094,158.407,89.906,74.661
4,262,basic,188.785,145.332,134.105,98.878
4,264,basic,79.35,38.683,52.791,24.47
4,266,basic,106.425,84.799,55.057,40.822
4,267,basic,117.017,94.431,81.348,64.072
4,268,basic,113.339,107.672,84.655,80.422
4,269,basic,103.581,94.569,60.406,53.553
4,270,basic,146.143,104.97,78.461,48.909
4,272,basic,41.692,39.008,14.138,12.832
4,275,basic,92.859,86.257,74.954,69.248
4,276,basic,150.881,79.816,110.772,56.717
4,277,basic,122.573,86.828,60.18,40.702
4,279,basic,106.859,54.095,29.222,13.382
4,281,basic,68.349,49.27,9.277,5.551
4,282,basic,77.72,61.741,22.349,14.921
4,286,basic,176.093,98.528,126.424,57.466
4,287,gifted,190.0,192.063,114.267,115.508
4,288,basic,189.366,158.982,128.878,101.567
4,289,basic,111.467,96.05,64.587,52.434
4,291,basic,354.47,236.124,280.09,167.614
4,292,basic,498.52,305.663,205.267,106.489
4,930,basic,398.651,339.368,397.655,338.421
4,935,basic,435.518,311.932,298.585,187.551
4,939,basic,156.733,74.174,98.395,39.603
4,949,basic,374.291,308.786,239.285,183.359
4,955,basic,44.82,42.564,32.335,30.703
4,971,gifted,514.318,519.902,499.522,504.945
4,972,basic,263.567,196.726,226.859,163.166
4,974,basic,88.54,77.878,69.707,59.987
4,977,basic,237.348,180.821,148.848,105.953
5,103,basic,270.151,250.397,270.151,250.397
5,104,basic,139.349,53.88,139.349,53.88
5,105,basic,450.003,224.294,450.003,224.294
5,105,gifted,135.592,137.194,135.592,137.194
5,106,basic,450.31,297.132,450.31,297.132
5,106,gifted,88.434,89.479,88.434,89.479
5,107,basic,510.011,256.022,510.011,256.022
5,109,basic,151.888,105.171,151.888,105.171
5,110,basic,392.544,200.423,392.544,200.423
5,113,basic,394.363,264.0,394.363,264.0
5,113,gifted,115.226,116.586,115.226,116.586
5,115,basic,146.218,93.666,146.218,93.666
5,117,basic,256.089,155.812,256.089,155.812
5,117,gifted,49.231,49.812,49.231,49.812
5,118,basic,264.811,144.674,264.811,144.674
5,130,basic,663.137,373.82,663.137,373.82
5,201,basic,75.943,54.336,29.189,16.207
5,202,basic,172.707,88.094,138.711,64.432
5,203,basic,251.65,187.218,193.881,138.528
5,204,basic,183.407,137.867,117.676,78.46
5,208,basic,131.841,112.21,53.233,39.085
5,209,basic,148.441,44.464,15.418,4.071
5,210,basic,194.564,72.37,170.736,61.25
5,211,basic,79.925,53.955,36.034,23.264
5,212,gifted,206.061,208.494,200.747,203.118
5,215,basic,117.908,59.405,45.122,19.374
5,218,basic,159.113,102.139,114.604,71.904
5,220,basic,90.013,72.514,42.192,27.085
5,221,basic,163.973,101.503,51.328,22.67
5,222,basic,154.081,84.543,103.855,41.954
5,225,basic,82.015,40.351,39.672,16.955
5,226,basic,259.486,145.519,192.303,97.602
5,229,basic,251.712,224.165,191.808,167.308
5,230,basic,115.091,85.435,47.796,30.735
5,233,basic,283.121,176.206,153.194,89.669
5,234,basic,73.043,62.945,40.358,31.91
5,235,basic,89.362,51.526,55.17,28.277
5,236,basic,51.352,44.977,39.248,33.478
5,239,basic,260.842,155.815,188.129,102.585
5,241,basic,384.766,112.543,351.564,99.654
5,242,basic,157.476,110.357,141.196,97.625
5,243,basic,216.154,115.401,171.196,89.063
5,244,basic,36.68,34.015,16.897,15.22
5,245,basic,320.588,272.544,272.321,226.696
5,246,basic,233.131,118.434,112.367,49.69
5,247,basic,373.255,108.083,345.611,97.853
5,248,basic,140.92,94.208,96.762,62.891
5,249,basic,30.483,23.054,4.81,2.652
5,250,basic,87.938,73.955,32.158,25.225
5,251,basic,131.49,55.536,90.873,35.415
5,252,basic,233.006,171.724,209.922,151.045
5,255,basic,85.851,61.502,58.15,40.005
5,257,basic,122.809,112.35,85.777,77.169
5,259,basic,155.657,128.732,97.111,74.065
5,261,basic,173.035,159.099,90.656,80.839
5,262,basic,185.818,150.221,133.477,102.983
5,264,basic,77.033,28.441,48.895,17.014
5,266,basic,107.925,88.117,55.936,42.144
5,267,basic,119.997,103.905,80.598,67.964
5,268,basic,108.084,102.68,79.581,75.602
5,269,basic,102.567,96.366,56.301,52.413
5,270,basic,156.265,119.554,87.479,57.04
5,272,basic,42.81,40.374,14.468,13.449
5,275,basic,95.449,90.127,77.904,73.46
5,276,basic,155.186,67.442,109.264,45.675
5,277,basic,124.446,89.498,61.964,42.484
5,279,basic,101.367,41.626,28.201,10.339
5,281,basic,65.676,48.46,7.285,4.382
5,282,basic,78.41,68.219,21.33,15.357
5,286,basic,182.657,96.902,131.317,55.196
5,287,gifted,190.0,192.243,112.239,113.564
5,288,basic,184.354,160.673,123.468,102.831
5,289,basic,106.931,99.87,63.351,58.478
5,291,basic,365.172,252.847,292.145,183.444
5,292,basic,497.408,299.402,209.657,106.366
5,930,basic,399.013,364.787,398.05,363.872
5,935,basic,435.895,338.185,300.615,210.971
5,939,basic,152.982,62.678,97.234,33.472
5,949,basic,379.937,342.584,238.5,208.219
5,955,basic,42.663,40.53,31.495,29.92
5,971,gifted,515.604,521.692,501.28,507.199
5,972,basic,265.474,213.009,228.866,178.341
5,974,basic,87.359,80.358,67.991,61.958
5,977,basic,229.393,193.262,139.964,109.527
6,103,basic,274.494,251.095,274.494,251.095
6,104,basic,134.133,49.298,134.133,49.298
6,105,basic,446.676,210.995,446.676,210.995
6,105,gifted,134.59,136.653,134.59,136.653
6,106,basic,455.49,282.444,455.49,282.444
6,106,gifted,89.452,90.823,89.452,90.823
6,107,basic,514.249,248.871,514.249,248.871
6,109,basic,150.631,100.572,150.631,100.572
6,110,basic,400.418,203.007,400.418,203.007
6,113,basic,376.563,235.766,376.563,235.766
6,113,gifted,110.025,111.711,110.025,111.711
6,115,basic,143.729,86.037,143.729,86.037
6,117,basic,258.484,155.065,258.484,155.065
6,117,gifted,49.691,50.453,49.691,50.453
6,118,basic,266.959,138.544,266.959,138.544
6,130,basic,664.377,372.249,664.377,372.249
6,201,basic,74.701,53.445,27.917,15.734
6,202,basic,168.145,87.576,133.889,63.726
6,203,basic,248.154,185.328,189.603,136.362
6,204,basic,184.075,137.856,119.18,79.761
6,208,basic,135.006,114.658,54.254,38.603
6,209,basic,145.898,46.218,14.784,4.171
6,210,basic,192.869,76.314,169.956,65.092
6,211,basic,78.542,52.535,35.904,22.976
6,212,gifted,206.063,209.222,200.704,203.78
6,215,basic,120.759,65.469,46.4,21.607
6,218,basic,162.996,105.01,117.113,73.836
6,220,basic,88.016,71.3,42.039,27.623
