school_year,class_of,_source_id,_source_table,section_code,item_code,item_label,item_value,coefficient,calculated_value,amount,running_total
2023-2024,2024,11127,stars_operations_allocation,A,non_high_no,Non-High No,,-0.18929,0.0,,
2023-2024,2024,11127,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,8.99607,,
2023-2024,2024,11127,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,8.36534,,
2023-2024,2024,11127,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.3614,,
2023-2024,2024,11127,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,34670600.99,
2023-2024,2024,11127,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2023-2024,2024,11127,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,34670600.99,
2023-2024,2024,11127,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2023-2024,2024,11127,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2023-2024,2024,11127,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2023-2024,2024,11127,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2023-2024,2024,11127,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2023-2024,2024,11127,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,34670600.99
2023-2024,2024,11127,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,34670600.99
2023-2024,2024,11127,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,0.0,
2023-2024,2024,11127,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,0.0,34670600.99
2023-2024,2024,11127,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,34670600.99,
2023-2024,2024,11127,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,61787631.6,
2023-2024,2024,11127,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,2063706.9,
2023-2024,2024,11127,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,63851338.5,
2023-2024,2024,11127,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,34670600.99,
2023-2024,2024,11127,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,801712.75,
2023-2024,2024,11127,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,0.0,
2023-2024,2024,11127,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,35472313.73,
2024-2025,2025,13129,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.06072,0.27011,,
2024-2025,2025,13129,stars_operations_allocation,A,average_distance,Average Distance,2.1603,0.02963,0.06401,,
2024-2025,2025,13129,stars_operations_allocation,A,destinations,Destinations,105.75,0.01535,1.62326,,
2024-2025,2025,13129,stars_operations_allocation,A,basic_program,Basic Program (Ln),9658.88,0.6811,6.24959,,
2024-2025,2025,13129,stars_operations_allocation,A,special_program,Special Program (Ln),3932.0,0.10362,0.85768,,
2024-2025,2025,13129,stars_operations_allocation,A,non_high_yes,Non-High Yes,,0.0,0.0,,
2024-2025,2025,13129,stars_operations_allocation,A,non_high_no,Non-High No,,-0.20779,0.0,,
2024-2025,2025,13129,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,9.06465,,
2024-2025,2025,13129,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,8.3721,,
2024-2025,2025,13129,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.43675,,
2024-2025,2025,13129,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,37384049.11,
2024-2025,2025,13129,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2024-2025,2025,13129,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,37384049.11,
2024-2025,2025,13129,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2024-2025,2025,13129,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2024-2025,2025,13129,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2024-2025,2025,13129,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2024-2025,2025,13129,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2024-2025,2025,13129,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,37384049.11
2024-2025,2025,13129,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,37384049.11
2024-2025,2025,13129,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,0.0,
2024-2025,2025,13129,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,0.0,37384049.11
2024-2025,2025,13129,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,37384049.11,
2024-2025,2025,13129,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,58879960.1,
